symbol,side,regime,entry_time,exit_time,entry_price,exit_price,qty,exit_reason,pnl,r_multiple,hold_minutes
UPST,LONG,BULL_TREND,2025-11-14T09:51:00-05:00,2025-11-14T10:55:00-05:00,38.6421,39.00171367498143,8147,TRAILING_STOP,2929.77,0.34,64
TSLA,LONG,BULL_TREND,2025-11-19T09:59:00-05:00,2025-11-19T10:05:00-05:00,408.205,409.2578688820638,785,TRAILING_STOP,826.5,0.21,6
GOOGL,LONG,BULL_TREND,2025-11-19T10:08:00-05:00,2025-11-19T10:50:00-05:00,303.03,299.8702571428571,1063,STOP_LOSS,-3358.81,-1.0,42
GOOGL,LONG,BULL_TREND,2025-11-20T09:51:00-05:00,2025-11-20T10:56:00-05:00,302.91,304.63840636964306,1041,TRAILING_STOP,1799.27,0.49,65
AVGO,LONG,BULL_TREND,2025-11-20T09:52:00-05:00,2025-11-20T11:00:00-05:00,372.4113,373.25065660007016,847,TRAILING_STOP,710.94,0.15,68
NVDA,LONG,BULL_TREND,2025-11-20T09:53:00-05:00,2025-11-20T11:00:00-05:00,195.555,191.9593142857143,2,STOP_LOSS,-7.19,-1.0,67
COIN,LONG,BULL_VOLATILE,2025-11-21T09:54:00-05:00,2025-11-21T10:20:00-05:00,244.19,237.69134285714287,1313,STOP_LOSS,-8532.74,-1.0,26
GOOGL,LONG,BULL_VOLATILE,2025-11-21T09:51:00-05:00,2025-11-21T10:35:00-05:00,299.96,294.7542857142857,1068,STOP_LOSS,-5559.7,-1.0,44
HOOD,LONG,BULL_VOLATILE,2025-11-21T11:50:00-05:00,2025-11-21T12:01:00-05:00,106.77,107.2937084253201,2738,TRAILING_STOP,1433.91,0.33,11
AMD,LONG,BULL_VOLATILE,2025-11-21T11:52:00-05:00,2025-11-21T12:38:00-05:00,202.86,204.5888056999197,1441,TRAILING_STOP,2491.21,0.64,46
HOOD,LONG,BULL_VOLATILE,2025-11-21T12:09:00-05:00,2025-11-21T13:05:00-05:00,107.985,106.30822857142859,2734,STOP_LOSS,-4584.29,-1.0,56
META,LONG,BULL_VOLATILE,2025-11-24T09:48:00-05:00,2025-11-24T11:32:00-05:00,606.214,611.1060131240782,480,TRAILING_STOP,2348.17,0.67,104
AMD,LONG,BULL_VOLATILE,2025-11-24T09:47:00-05:00,2025-11-24T15:55:00-05:00,212.46,216.0,1370,EOD_CLOSE,4849.8,0.8,368
SOFI,LONG,BULL_VOLATILE,2025-11-24T09:56:00-05:00,2025-11-24T15:55:00-05:00,26.1899,27.545,7,EOD_CLOSE,9.49,2.0,359
GOOGL,LONG,BULL_VOLATILE,2025-11-25T09:59:00-05:00,2025-11-25T10:51:00-05:00,325.98,320.48477142857143,937,STOP_LOSS,-5149.03,-1.0,52
META,LONG,BULL_VOLATILE,2025-11-25T09:57:00-05:00,2025-11-25T15:55:00-05:00,627.41,636.48,486,EOD_CLOSE,4408.02,1.24,358
MSTR,LONG,BULL_VOLATILE,2025-11-26T09:50:00-05:00,2025-11-26T09:55:00-05:00,174.65,171.37948571428572,1740,STOP_LOSS,-5690.69,-1.0,5
HOOD,LONG,BULL_VOLATILE,2025-11-26T10:34:00-05:00,2025-11-26T11:36:00-05:00,124.39,125.272911764841,2352,TRAILING_STOP,2076.61,0.45,62
AMD,LONG,BULL_VOLATILE,2025-11-26T10:09:00-05:00,2025-11-26T12:08:00-05:00,210.96,212.4786016821063,1387,TRAILING_STOP,2106.3,0.41,119
HOOD,LONG,BULL_VOLATILE,2025-11-26T13:00:00-05:00,2025-11-26T13:20:00-05:00,127.275,127.746541876892,2365,TRAILING_STOP,1115.2,0.42,20
MSTR,LONG,BULL_TREND,2025-11-28T10:12:00-05:00,2025-11-28T10:27:00-05:00,183.585,186.0526511433007,1651,TRAILING_STOP,4074.09,1.02,15
COIN,LONG,BULL_TREND,2025-11-28T10:00:00-05:00,2025-11-28T10:38:00-05:00,276.04,278.0322939879314,1098,TRAILING_STOP,2187.54,0.55,38
HOOD,LONG,BULL_TREND,2025-12-02T09:51:00-05:00,2025-12-02T10:14:00-05:00,126.32,128.07021547317473,2499,TRAILING_STOP,4373.79,0.81,23
SHOP,LONG,BULL_TREND,2025-12-02T09:56:00-05:00,2025-12-02T10:25:00-05:00,155.75,156.05491253563864,1,TRAILING_STOP,0.3,0.15,29
BA,LONG,BULL_TREND,2025-12-02T10:14:00-05:00,2025-12-02T10:45:00-05:00,201.95,202.62422956202033,1607,TRAILING_STOP,1083.49,0.36,31
MSTR,LONG,BULL_TREND,2025-12-02T09:50:00-05:00,2025-12-02T12:53:00-05:00,181.39,182.3041508919219,1740,TRAILING_STOP,1590.62,0.18,183
TSLA,LONG,BULL_TREND,2025-12-03T09:51:00-05:00,2025-12-03T10:57:00-05:00,438.42,440.8626541229219,752,TRAILING_STOP,1836.88,0.35,66
COIN,LONG,BULL_TREND,2025-12-03T09:57:00-05:00,2025-12-03T13:53:00-05:00,272.516,273.9287470801191,1210,TRAILING_STOP,1709.42,0.25,236
CRM,LONG,BULL_TREND,2025-12-04T10:22:00-05:00,2025-12-04T12:16:00-05:00,242.8547,245.73511054392372,1387,TRAILING_STOP,3995.13,0.96,114
META,LONG,BULL_TREND,2025-12-04T10:06:00-05:00,2025-12-04T15:04:00-05:00,668.2,661.007142857143,504,STOP_LOSS,-3625.2,-1.0,298
AMD,LONG,BULL_TREND,2025-12-05T10:02:00-05:00,2025-12-05T10:20:00-05:00,220.6964,222.29413288895643,1530,TRAILING_STOP,2444.53,0.6,18
AVGO,LONG,BULL_TREND,2025-12-05T09:53:00-05:00,2025-12-05T10:52:00-05:00,391.759,386.70057142857144,862,STOP_LOSS,-4360.37,-1.0,59
GS,LONG,BULL_TREND,2025-12-08T09:57:00-05:00,2025-12-08T10:07:00-05:00,870.36,864.26748,383,STOP_LOSS,-2333.44,-1.0,10
