symbol,entry_time,exit_time,entry_price,exit_price,qty,side,exit_reason,pnl,r_multiple,hold_minutes
PLTR,2025-08-21T10:29:00-04:00,2025-08-21T10:31:00-04:00,157.36,155.3950285714286,1767,LONG,STOP_LOSS,-3472.1,-1.0,2
TSLA,2025-08-22T10:03:00-04:00,2025-08-22T15:55:00-04:00,333.5896,339.53,812,LONG,EOD_CLOSE,4823.6,0.74,352
AVGO,2025-08-22T10:09:00-04:00,2025-08-22T15:55:00-04:00,297.74,293.81,910,LONG,EOD_CLOSE,-3576.3,-0.65,346
LLY,2025-08-26T09:52:00-04:00,2025-08-26T10:25:00-04:00,724.66,714.8806,377,LONG,STOP_LOSS,-3686.83,-1.0,33
DDOG,2025-08-27T09:53:00-04:00,2025-08-27T10:43:00-04:00,129.92,128.6774,2049,LONG,STOP_LOSS,-2546.09,-1.0,50
SNOW,2025-08-27T10:12:00-04:00,2025-08-27T10:51:00-04:00,200.1725,200.89555087308625,1330,LONG,TRAILING_STOP,961.66,0.33,39
DDOG,2025-08-28T09:55:00-04:00,2025-08-28T10:07:00-04:00,138.225,138.65077941038166,1903,LONG,TRAILING_STOP,810.26,0.23,12
SNOW,2025-08-28T13:08:00-04:00,2025-08-28T13:38:00-04:00,241.3333,241.6959219097998,1097,LONG,TRAILING_STOP,397.8,0.17,30
SNOW,2025-08-28T13:45:00-04:00,2025-08-28T14:08:00-04:00,243.93,246.31929929312273,1088,LONG,TRAILING_STOP,2599.56,1.26,23
AVGO,2025-09-03T10:25:00-04:00,2025-09-03T10:52:00-04:00,301.735,303.1738836557007,897,LONG,TRAILING_STOP,1290.68,0.66,27
NET,2025-09-08T09:57:00-04:00,2025-09-08T10:24:00-04:00,220.2855,217.64055714285715,1240,LONG,STOP_LOSS,-3279.73,-1.0,27
AVGO,2025-09-08T10:03:00-04:00,2025-09-08T11:02:00-04:00,352.29,347.13151428571433,1,LONG,STOP_LOSS,-5.16,-1.0,59
COIN,2025-09-08T10:02:00-04:00,2025-09-08T13:26:00-04:00,303.1,304.51059115803366,901,LONG,TRAILING_STOP,1270.94,0.34,204
UNH,2025-09-09T11:26:00-04:00,2025-09-09T11:33:00-04:00,338.66,341.48464506673787,795,LONG,TRAILING_STOP,2245.59,1.13,7
AVGO,2025-09-10T09:59:00-04:00,2025-09-10T10:09:00-04:00,360.62,362.6476638096492,759,LONG,TRAILING_STOP,1539.0,0.37,10
AVGO,2025-09-10T10:13:00-04:00,2025-09-10T10:28:00-04:00,364.575,368.21754414200495,759,LONG,TRAILING_STOP,2764.69,0.82,15
AVGO,2025-09-10T10:49:00-04:00,2025-09-10T13:03:00-04:00,371.34,366.9203428571428,760,LONG,STOP_LOSS,-3358.94,-1.0,134
NET,2025-09-11T09:52:00-04:00,2025-09-11T11:17:00-04:00,225.79,228.35140579114602,1220,LONG,TRAILING_STOP,3124.92,0.86,85
UNH,2025-09-12T09:50:00-04:00,2025-09-12T13:22:00-04:00,359.83,355.32874285714286,783,LONG,STOP_LOSS,-3524.48,-1.0,212
GOOGL,2025-09-15T09:59:00-04:00,2025-09-15T10:13:00-04:00,249.1799,251.4486853917362,1103,LONG,TRAILING_STOP,2502.47,1.2,14
COIN,2025-09-18T10:02:00-04:00,2025-09-18T10:37:00-04:00,329.0327,336.6619511477995,850,LONG,TRAILING_STOP,6484.86,1.7,35
COIN,2025-09-18T10:53:00-04:00,2025-09-18T11:09:00-04:00,339.58,343.8774783724433,862,LONG,TRAILING_STOP,3704.43,1.2,16
META,2025-09-18T09:45:00-04:00,2025-09-18T15:55:00-04:00,786.09,779.77,356,LONG,EOD_CLOSE,-2249.92,-0.59,370
BA,2025-09-23T09:55:00-04:00,2025-09-23T09:57:00-04:00,217.095,217.98895593436708,1362,LONG,TRAILING_STOP,1217.57,0.37,2
LLY,2025-09-26T09:49:00-04:00,2025-09-26T10:07:00-04:00,728.26,721.2810571428571,409,LONG,STOP_LOSS,-2854.39,-1.0,18
BA,2025-09-26T09:51:00-04:00,2025-09-26T15:55:00-04:00,221.78,221.45,1344,LONG,EOD_CLOSE,-443.52,-0.09,364
DDOG,2025-10-01T10:14:00-04:00,2025-10-01T10:36:00-04:00,147.885,148.72246072189296,1971,LONG,TRAILING_STOP,1650.64,0.63,22
DDOG,2025-10-01T10:37:00-04:00,2025-10-01T11:27:00-04:00,149.385,150.28124197591077,1974,LONG,TRAILING_STOP,1769.18,0.69,50
PLTR,2025-10-06T10:02:00-04:00,2025-10-06T10:24:00-04:00,182.262,179.91737142857144,1637,LONG,STOP_LOSS,-3838.16,-1.0,22
COIN,2025-10-06T10:29:00-04:00,2025-10-06T12:11:00-04:00,389.305,385.0710857142857,727,LONG,STOP_LOSS,-3078.06,-1.0,102
SNOW,2025-10-06T09:52:00-04:00,2025-10-06T14:10:00-04:00,242.94,244.19136273506686,1228,LONG,TRAILING_STOP,1536.67,0.44,258
HOOD,2025-10-07T10:01:00-04:00,2025-10-07T11:31:00-04:00,145.44,143.39722857142854,1978,LONG,STOP_LOSS,-4040.6,-1.0,90
DDOG,2025-10-08T10:01:00-04:00,2025-10-08T10:13:00-04:00,159.4,160.61562473561568,1754,LONG,TRAILING_STOP,2132.21,0.54,12
SNOW,2025-10-08T10:01:00-04:00,2025-10-08T10:34:00-04:00,242.62,245.37602512752454,1152,LONG,TRAILING_STOP,3174.94,1.04,33
