symbol,side,regime,entry_time,exit_time,entry_price,exit_price,qty,exit_reason,pnl,r_multiple,hold_minutes
DDOG,SHORT,BULL_TREND,2025-08-07T11:08:00-04:00,2025-08-07T12:10:00-04:00,135.6,132.92,668,SCALP_TP,1788.01,1.0,62
LLY,SHORT,NEUTRAL,2025-08-07T10:11:00-04:00,2025-08-07T12:45:00-04:00,636.0,647.82,139,STOP_LOSS,-1642.87,-1.0,154
DDOG,SHORT,NEUTRAL,2025-08-07T12:35:00-04:00,2025-08-07T15:03:00-04:00,132.2,133.79,692,STOP_LOSS,-1101.91,-1.0,148
LLY,SHORT,NEUTRAL,2025-08-08T10:05:00-04:00,2025-08-08T10:14:00-04:00,644.07,638.48,139,SCALP_TP,776.49,1.0,9
DDOG,SHORT,NEUTRAL,2025-08-08T10:39:00-04:00,2025-08-08T10:51:00-04:00,136.72,135.3,659,SCALP_TP,933.14,1.0,12
HOOD,SHORT,NEUTRAL,2025-08-08T11:44:00-04:00,2025-08-08T11:57:00-04:00,113.36,114.53,800,STOP_LOSS,-934.28,-1.0,13
DDOG,SHORT,NEUTRAL,2025-08-08T11:35:00-04:00,2025-08-08T12:36:00-04:00,129.57,131.35,700,STOP_LOSS,-1249.11,-1.0,61
COIN,SHORT,NEUTRAL,2025-08-13T10:12:00-04:00,2025-08-13T11:05:00-04:00,334.73,326.86,266,SCALP_TP,2094.03,1.0,53
COIN,SHORT,NEUTRAL,2025-08-13T11:06:00-04:00,2025-08-13T11:15:00-04:00,327.3,323.64,277,SCALP_TP,1014.63,1.0,9
COIN,SHORT,NEUTRAL,2025-08-14T10:11:00-04:00,2025-08-14T10:36:00-04:00,320.24,325.37,285,STOP_LOSS,-1461.2,-1.0,25
NET,SHORT,NEUTRAL,2025-08-18T10:00:00-04:00,2025-08-18T10:24:00-04:00,196.91,198.86,459,STOP_LOSS,-896.0,-1.0,24
NFLX,SHORT,NEUTRAL,2025-08-19T10:03:00-04:00,2025-08-19T10:33:00-04:00,120.6,119.42,744,SCALP_TP,880.88,1.0,30
AVGO,SHORT,NEUTRAL,2025-08-19T10:30:00-04:00,2025-08-19T10:48:00-04:00,298.56,297.27,300,TRAILING_STOP,385.5,0.41,18
UNH,SHORT,NEUTRAL,2025-08-19T10:40:00-04:00,2025-08-19T12:13:00-04:00,302.16,299.32,299,SCALP_TP,848.91,1.0,93
NET,SHORT,NEUTRAL,2025-08-20T10:07:00-04:00,2025-08-20T10:45:00-04:00,189.15,185.67,482,SCALP_TP,1676.88,1.0,38
COIN,SHORT,NEUTRAL,2025-08-20T10:09:00-04:00,2025-08-20T11:06:00-04:00,293.62,299.24,310,STOP_LOSS,-1742.5,-1.0,57
AVGO,SHORT,NEUTRAL,2025-08-20T10:07:00-04:00,2025-08-20T11:22:00-04:00,284.0,289.34,321,STOP_LOSS,-1713.25,-1.0,75
AVGO,SHORT,NEUTRAL,2025-08-29T10:03:00-04:00,2025-08-29T10:18:00-04:00,297.82,296.97,302,TRAILING_STOP,257.76,0.23,15
CAT,SHORT,NEUTRAL,2025-08-29T10:05:00-04:00,2025-08-29T10:22:00-04:00,420.75,419.82,213,TRAILING_STOP,198.09,0.26,17
GS,SHORT,NEUTRAL,2025-09-05T10:01:00-04:00,2025-09-05T10:34:00-04:00,740.0,731.8,122,SCALP_TP,1000.76,1.0,33
BAC,SHORT,NEUTRAL,2025-09-05T10:03:00-04:00,2025-09-05T10:35:00-04:00,49.94,49.52,1808,SCALP_TP,758.68,1.0,32
JPM,SHORT,NEUTRAL,2025-09-05T10:02:00-04:00,2025-09-05T10:40:00-04:00,299.1,296.32,301,SCALP_TP,835.81,1.0,38
AVGO,SHORT,NEUTRAL,2025-09-05T10:08:00-04:00,2025-09-05T11:24:00-04:00,337.45,334.67,267,TRAILING_STOP,743.55,0.34,76
NET,SHORT,NEUTRAL,2025-09-08T10:24:00-04:00,2025-09-08T13:25:00-04:00,217.63,219.95,425,STOP_LOSS,-986.0,-1.04,181
NFLX,SHORT,NEUTRAL,2025-09-11T10:00:00-04:00,2025-09-11T10:18:00-04:00,122.55,122.11,750,TRAILING_STOP,328.92,0.35,18
NFLX,SHORT,NEUTRAL,2025-09-11T10:25:00-04:00,2025-09-11T13:29:00-04:00,121.56,120.39,758,SCALP_TP,889.54,1.0,184
NFLX,SHORT,NEUTRAL,2025-10-22T10:00:00-04:00,2025-10-22T10:43:00-04:00,113.34,111.7,819,SCALP_TP,1344.94,1.0,43
V,SHORT,NEUTRAL,2025-10-29T10:20:00-04:00,2025-10-29T10:41:00-04:00,345.46,344.05,271,TRAILING_STOP,382.73,0.32,21
NET,SHORT,NEUTRAL,2025-11-03T10:16:00-05:00,2025-11-03T10:34:00-05:00,253.58,249.38,371,SCALP_TP,1557.42,1.0,18
NET,SHORT,NEUTRAL,2025-11-04T10:55:00-05:00,2025-11-04T11:24:00-05:00,239.65,237.56,397,SCALP_TP,831.13,1.0,29
HD,SHORT,NEUTRAL,2025-11-05T10:20:00-05:00,2025-11-05T10:29:00-05:00,375.81,372.71,254,SCALP_TP,786.78,1.0,9
